# rho, Re(G), Im(G)
  0.000000000000E+00  1.154394239254E+01  4.224233488484E+01
  2.605210420842E-03  1.153845465904E+01  4.223441918963E+01
  5.210420841683E-03  1.152197893128E+01  4.221066289346E+01
  7.815631262525E-03  1.149447823776E+01  4.217103855899E+01
  1.042084168337E-02  1.145589297953E+01  4.211550110300E+01
  1.302605210421E-02  1.140614391263E+01  4.204398875785E+01
  1.563126252505E-02  1.134513622876E+01  4.195642440320E+01
  1.823647294589E-02  1.127276464184E+01  4.185271725425E+01
  2.084168336673E-02  1.118891936502E+01  4.173276488843E+01
  2.344689378758E-02  1.109349284213E+01  4.159645558942E+01
  2.605210420842E-02  1.098638707982E+01  4.144367098358E+01
  2.865731462926E-02  1.086752141201E+01  4.127428894097E+01
  3.126252505010E-02  1.073684051726E+01  4.108818671023E+01
  3.386773547094E-02  1.059432250247E+01  4.088524425399E+01
  3.647294589178E-02  1.043998686285E+01  4.066534774919E+01
  3.907815631263E-02  1.027390212882E+01  4.042839321507E+01
  4.168336673347E-02  1.009619301486E+01  4.017429022977E+01
  4.428857715431E-02  9.907046894137E+00  3.990296569546E+01
  4.689378757515E-02  9.706719434527E+00  3.961436761127E+01
  4.949899799599E-02  9.495539247382E+00  3.930846881293E+01
  5.210420841683E-02  9.273911419140E+00  3.898527063790E+01
  5.470941883768E-02  9.042319817231E+00  3.864480647561E+01
  5.731462925852E-02  8.801328085528E+00  3.828714516297E+01
  5.991983967936E-02  8.551579270113E+00  3.791239418674E+01
  6.252505010020E-02  8.293794042981E+00  3.752070265603E+01
  6.513026052104E-02  8.028767518872E+00  3.711226401007E+01
  6.773547094188E-02  7.757364688170E+00  3.668731842885E+01
  7.034068136273E-02  7.480514516181E+00  3.624615491693E+01
  7.294589178357E-02  7.199202785534E+00  3.578911303355E+01
  7.555110220441E-02  6.914463783422E+00  3.531658424547E+01
  7.815631262525E-02  6.627370958391E+00  3.482901288258E+01
  8.076152304609E-02  6.339026691988E+00  3.432689667967E+01
  8.336673346693E-02  6.050551348334E+00  3.381078689196E+01
  8.597194388778E-02  5.763071779290E+00  3.328128797554E+01
  8.857715430862E-02  5.477709474059E+00  3.273905682838E+01
  9.118236472946E-02  5.195568549545E+00  3.218480159115E+01
  9.378757515030E-02  4.917723781569E+00  3.161928001169E+01
  9.639278557114E-02  4.645208876914E+00  3.104329738075E+01
  9.899799599198E-02  4.379005182273E+00  3.045770405071E+01
  1.016032064128E-01  4.120031018596E+00  2.986339255282E+01
  1.042084168337E-01  3.869131818147E+00  2.926129433259E+01
  1.068136272545E-01  3.627071227209E+00  2.865237612600E+01
  1.094188376754E-01  3.394523319932E+00  2.803763600313E+01
  1.120240480962E-01  3.172066048827E+00  2.741809910843E+01
  1.146292585170E-01  2.960176035166E+00  2.679481313028E+01
  1.172344689379E-01  2.759224778598E+00  2.616884353430E+01
  1.198396793587E-01  2.569476340030E+00  2.554126859795E+01
  1.224448897796E-01  2.391086525802E+00  2.491317428504E+01
  1.250501002004E-01  2.224103574944E+00  2.428564900087E+01
  1.276553106212E-01  2.068470325238E+00  2.365977826962E+01
  1.302605210421E-01  1.924027808546E+00  2.303663937631E+01
  1.328657314629E-01  1.790520201821E+00  2.241729601620E+01
  1.354709418838E-01  1.667601037766E+00  2.180279299443E+01
  1.380761523046E-01  1.554840558832E+00  2.119415101810E+01
  1.406813627255E-01  1.451734080286E+00  2.059236162247E+01
  1.432865731463E-01  1.357711212920E+00  1.999838227159E+01
  1.458917835671E-01  1.272145783719E+00  1.941313167215E+01
  1.484969939880E-01  1.194366283775E+00  1.883748533761E+01
  1.511022044088E-01  1.123666666879E+00  1.827227143708E+01
  1.537074148297E-01  1.059317319751E+00  1.771826696143E+01
  1.563126252505E-01  1.000576025656E+00  1.717619423576E+01
  1.589178356713E-01  9.466987471485E-01  1.664671780459E+01
  1.615230460922E-01  8.969500607985E-01  1.613044171292E+01
  1.641282565130E-01  8.506130866400E-01  1.562790720248E+01
  1.667334669339E-01  8.069987676954E-01  1.513959083929E+01
  1.693386773547E-01  7.654543697637E-01  1.466590308445E+01
  1.719438877756E-01  7.253710885300E-01  1.420718731667E+01
  1.745490981964E-01  6.861906695079E-01  1.376371931069E+01
  1.771543086172E-01  6.474109660073E-01  1.333570717232E+01
  1.797595190381E-01  6.085903808187E-01  1.292329172648E+01
  1.823647294589E-01  5.693511581968E-01  1.252654735108E+01
  1.849699398798E-01  5.293815136276E-01  1.214548324577E+01
  1.875751503006E-01  4.884366093545E-01  1.178004512094E+01
  1.901803607214E-01  4.463384033592E-01  1.143011728898E+01
  1.927855711423E-01  4.029744180822E-01  1.109552513641E+01
  1.953907815631E-01  3.582954923110E-01  1.077603795268E+01
  1.979959919840E-01  3.123125950825E-01  1.047137208847E+01
  2.006012024048E-01  2.650927938974E-01  1.018119441386E+01
  2.032064128257E-01  2.167544808411E-01  9.905126044538E+00
  2.058116232465E-01  1.674619692048E-01  9.642746302343E+00
  2.084168336673E-01  1.174195798114E-01  9.393596874730E+00
  2.110220440882E-01  6.686534042698E-02  9.157186136617E+00
  2.136272545090E-01  1.606442339372E-02  8.932993597139E+00
  2.162324649299E-01 -3.469755398901E-02  8.720474433237E+00
  2.188376753507E-01 -8.512124468958E-02  8.519064071889E+00
  2.214428857715E-01 -1.349001861268E-01  8.328182782860E+00
