# rho  Re(G)  Im(G)  |G|
  1.0000000000E-02 -2.1438354021E+02  1.6089723476E+02  2.6804518736E+02
  2.0000000000E-02 -2.1375338504E+02  1.6029787515E+02  2.6718143347E+02
  3.0000000000E-02 -2.1270512510E+02  1.5930187316E+02  2.6574528601E+02
  4.0000000000E-02 -2.1124178083E+02  1.5791361602E+02  2.6374191948E+02
  5.0000000000E-02 -2.0936762385E+02  1.5613922786E+02  2.6117859866E+02
  6.0000000000E-02 -2.0708821620E+02  1.5398655076E+02  2.5806469557E+02
  7.0000000000E-02 -2.0441045527E+02  1.5146511913E+02  2.5441170676E+02
  8.0000000000E-02 -2.0134262128E+02  1.4858612665E+02  2.5023326752E+02
  9.0000000000E-02 -1.9789442304E+02  1.4536238490E+02  2.4554516003E+02
  1.0000000000E-01 -1.9407703827E+02  1.4180827276E+02  2.4036531157E+02
  1.1000000000E-01 -1.8990314438E+02  1.3793967606E+02  2.3471377990E+02
  1.2000000000E-01 -1.8538693626E+02  1.3377391673E+02  2.2861272260E+02
  1.3000000000E-01 -1.8054412792E+02  1.2932967113E+02  2.2208634799E+02
  1.4000000000E-01 -1.7539193556E+02  1.2462687752E+02  2.1516084603E+02
  1.5000000000E-01 -1.6994904044E+02  1.1968663273E+02  2.0786429804E+02
  1.6000000000E-01 -1.6423553066E+02  1.1453107859E+02  2.0022656541E+02
  1.7000000000E-01 -1.5827282200E+02  1.0918327879E+02  1.9227915787E+02
  1.8000000000E-01 -1.5208355842E+02  1.0366708725E+02  1.8405508338E+02
  1.9000000000E-01 -1.4569149396E+02  9.8007009129E+01  1.7558868201E+02
  2.0000000000E-01 -1.3912135816E+02  9.2228056095E+01  1.6691544754E+02
  2.1000000000E-01 -1.3239870752E+02  8.6355597168E+01  1.5807184099E+02
  2.2000000000E-01 -1.2554976607E+02  8.0415206977E+01  1.4909510144E+02
  2.3000000000E-01 -1.1860125813E+02  7.4432512981E+01  1.4002306031E+02
  2.4000000000E-01 -1.1158023636E+02  6.8433043285E+01  1.3089396686E+02
  2.5000000000E-01 -1.0451390796E+02  6.2442076606E+01  1.2174633419E+02
  2.6000000000E-01 -9.7429461926E+01  5.6484495768E+01  1.1261881865E+02
  2.7000000000E-01 -9.0353899566E+01  5.0584646010E+01  1.0355015007E+02
  2.8000000000E-01 -8.3313870326E+01  4.4766199179E+01  9.4579139231E+01
  2.9000000000E-01 -7.6335514467E+01  3.9052024727E+01  8.5744803949E+01
  3.0000000000E-01 -6.9444313736E+01  3.3464068270E+01  7.7086682218E+01
  3.1000000000E-01 -6.2664950814E+01  2.8023238279E+01  6.8645451009E+01
  3.2000000000E-01 -5.6021177993E+01  2.2749301373E+01  6.0464064507E+01
  3.3000000000E-01 -4.9535695280E+01  1.7660786547E+01  5.2589813542E+01
  3.4000000000E-01 -4.3230037967E+01  1.2774898587E+01  4.5078090205E+01
  3.5000000000E-01 -3.7124473592E+01  8.1074408686E+00  3.7999436007E+01
  3.6000000000E-01 -3.1237908194E+01  3.6727476919E+00  3.1453075906E+01
  3.7000000000E-01 -2.5587801781E+01 -5.1637372719E-01  2.5593011582E+01
