# rho  Re(G)  Im(G)  |G|
  1.0000000000E-02 -1.0487579156E+00 -1.0971400662E+01  1.1021412144E+01
  2.0000000000E-02 -1.0223024212E+00 -1.0503717454E+01  1.0553349354E+01
  3.0000000000E-02 -9.7873563266E-01 -9.7536710715E+00  9.8026538657E+00
  4.0000000000E-02 -9.1889103807E-01 -8.7632196403E+00  8.8112643363E+00
  5.0000000000E-02 -8.4401498811E-01 -7.5869206207E+00  7.6337229321E+00
  6.0000000000E-02 -7.5582336000E-01 -6.2881441005E+00  6.3334054963E+00
  7.0000000000E-02 -6.5654542798E-01 -4.9347339926E+00  4.9782177008E+00
  8.0000000000E-02 -5.4893901323E-01 -3.5944522594E+00  3.6361272097E+00
  9.0000000000E-02 -4.3626300388E-01 -2.3305534372E+00  2.3710345279E+00
  1.0000000000E-01 -3.2219755266E-01 -1.1978203205E+00  1.2403970264E+00
  1.1000000000E-01 -2.1070823068E-01 -2.3934843621E-01  3.1888184707E-01
  1.2000000000E-01 -1.0585746004E-01  5.1569909177E-01  5.2645166454E-01
  1.3000000000E-01 -1.1573829730E-02  1.0532275831E+00  1.0532911731E+00
  1.4000000000E-01  6.8603479466E-02  1.3741914731E+00  1.3759028462E+00
  1.5000000000E-01  1.3178282808E-01  1.4934673123E+00  1.4992702647E+00
  1.6000000000E-01  1.7595559145E-01  1.4377542678E+00  1.4484811717E+00
  1.7000000000E-01  2.0018356872E-01  1.2427110135E+00  1.2587311565E+00
  1.8000000000E-01  2.0471561287E-01  9.4959188118E-01  9.7140785614E-01
  1.9000000000E-01  1.9101619079E-01  6.0167533272E-01  6.3126887390E-01
  2.0000000000E-01  1.6169627482E-01  2.4078227656E-01  2.9003756652E-01
  2.1000000000E-01  1.2034618998E-01 -9.5839112578E-02  1.5384518499E-01
  2.2000000000E-01  7.1279852679E-02 -3.7802899315E-01  3.8469044316E-01
  2.3000000000E-01  1.9209195890E-02 -5.8446056187E-01  5.8477614656E-01
  2.4000000000E-01 -3.1124549683E-02 -7.0351647556E-01  7.0420463572E-01
  2.5000000000E-01 -7.5330564954E-02 -7.3327877202E-01  7.3713801388E-01
  2.6000000000E-01 -1.0972457222E-01 -6.8069132089E-01  6.8947817666E-01
  2.7000000000E-01 -1.3162783529E-01 -5.6002239736E-01  5.7528338458E-01
